Team,Seed,Region,R64,R32,S16,E8,F4,Champ,Champ_Prob,EV_Pct,Bonus_EV,Total_EV_Pct,EV_Dollars,Est_Price,Value_Ratio,Surplus
NC State,11,West,0.5,0.17103358208955227,0.06975373134328358,0.033656716417910446,0.014194029850746267,0.004975124378109453,0.004975124378109453,0.009255855099502488,0.001855267723880597,0.011111122823383085,72.22229835199005,46.944493928793534,1.5384615384615383,25.277804423196514
Iowa,9,South,0.494,0.21767910447761193,0.08585074626865671,0.03141293532338309,0.011828358208955224,0.004975124378109453,0.004975124378109453,0.010084713930348257,0.0009995876865671641,0.011084301616915421,72.04796050995024,57.6383684079602,1.2499999999999998,14.409592101990043
Ohio State,8,East,0.654,0.20359960159362547,0.08451394422310757,0.02695219123505976,0.010171314741035855,0.00398406374501992,0.00398406374501992,0.010321887450199204,0.0005330124501992031,0.010854899900398408,70.55684935258965,63.501164417330685,1.1111111111111112,7.055684935258967
Clemson,8,South,0.506,0.20984328358208953,0.08986567164179103,0.029925373134328356,0.011955223880597015,0.004975124378109453,0.004975124378109453,0.010101946517412934,0.0005617779850746268,0.010663724502487561,69.31420926616914,62.38278833955223,1.1111111111111112,6.931420926616916
Utah State,9,West,0.516,0.20987450199203186,0.07990438247011952,0.02794422310756972,0.009970119521912351,0.00398406374501992,0.00398406374501992,0.009610607569721116,0.0009669755976095618,0.010577583167330679,68.75429058764941,55.00343247011953,1.25,13.75085811752988
Missouri,10,West,0.449,0.18885657370517925,0.07688844621513945,0.029100265604249664,0.00996812749003984,0.00398406374501992,0.00398406374501992,0.008977232735723772,0.0015042101593625498,0.010481442895086322,68.12937881806108,54.50350305444887,1.25,13.625875763612214
Villanova,8,West,0.484,0.20359960159362547,0.08451394422310757,0.02695219123505976,0.010171314741035855,0.00398406374501992,0.00398406374501992,0.009471887450199204,0.0005330124501992031,0.010004899900398408,65.03184935258965,58.52866441733068,1.1111111111111112,6.503184935258965
SMU,11,Midwest,0.5,0.15787820512820513,0.05938888888888889,0.025683760683760683,0.009410256410256411,0.002849002849002849,0.002849002849002849,0.008060243945868946,0.001759293269230769,0.009819537215099716,63.82699189814815,41.4875447337963,1.5384615384615385,22.339447164351853
Georgia,8,Midwest,0.509,0.19943023255813952,0.08094019933554818,0.024966777408637873,0.008980066445182724,0.0033222591362126247,0.0033222591362126247,0.009249605481727574,0.0005138035714285714,0.009763409053156145,63.46215884551494,57.11594296096345,1.111111111111111,6.346215884551491
Texas,11,West,0.5,0.15568017456359104,0.0576571072319202,0.024351620947630923,0.008610972568578552,0.0024937655860349122,0.0024937655860349127,0.00786047849127182,0.0017432576371571072,0.009603736128428929,62.42428483478804,40.575785142612226,1.5384615384615385,21.848499692175814
Saint Louis,9,Midwest,0.491,0.19813840399002491,0.07096259351620947,0.022728179551122194,0.00717581047381546,0.0024937655860349122,0.0024937655860349127,0.008607263092269326,0.0009179354738154612,0.009525198566084787,61.91379067955111,49.53103254364089,1.25,12.382758135910223
